Subbasin Grouping,HUC8 Subbasin,Median SWE (in.),Mean SWE (in.),Estimated Volume (af),"Volume Change since April 29, 2025 (af) "
Upper Rio Grande,Rio Grande Headwaters,0.6 ,1.8 ,"132,309 ","-32,077 "
,Saguache,0.2 ,0.4 ,"26,752 ","12,650 "
,Conejos,1.1 ,1.6 ,"66,542 ","25,303 "
,Total,0.5 ,1.2 ,"225,603 ","5,876 "
Sangre de Cristo,San Luis,0.0 ,0.3 ,"23,459 ","8,512 "
,Alamosa-Trinchera,0.3 ,0.5 ,"72,303 ","59,819 "
,Upper Rio Grande,0.2 ,0.8 ,"144,174 ","106,761 "
,Total,0.1 ,0.6 ,"239,936 ","175,092 "
Rio Chama,,0.1 ,0.6 ,"99,131 ","74,012 "
Jemez,,0.0 ,0.2 ,"8,522 ","8,522 "
