HUC6 Basin,HUC8 Subbasin,Median SWE (in.),Mean SWE (in.),Estimated Volume (af),"Volume Change since April 1, 2025 (af) "
,,,,,
,,,,,
Rio Grande Headwaters,Rio Grande Headwaters,6.4,6.3,"460,261","54,706"
,Alamosa-Trinchera,0,0.7,"96,407","27,491"
,San Luis,0,0.6,"53,339","10,890"
,Saguache,0,1.4,"100,714","20,221"
,Conejos,0.5,3.9,"161,191","19,900"
,Total,0,2.1,"871,912","133,209"
Upper Rio Grande,Upper Rio Grande,0,0.6,"95,903","20,696"
,Rio Chama,0,1,"164,623","15,711"
,Total,0,0.8,"260,526","36,408"
Rio Grande-Elephant Butte,Rio Grande-Santa Fe,0,0,"4,122","3,702"
,Jemez,0,0.3,"14,083","12,482"
,Rio Grande-Albuquerque,0,0,"7,187","7,187"
,Arroyo Chico,0,0,"2,152","2,152"
,North Plains,0,0,142,142
,Rio San Jose,0,0,"5,499","5,499"
,Plains of San Agustin,0,0,24,24
,Rio Salado,0,0,218,218
,Jornada Del Muerto,0,0,0,0
,Elephant Butte Reservoir,0,0,931,931
,Rio Puerco,0,0.1,"5,887","5,692"
,Total,0,0,"40,247","38,030"
