Subbasin Grouping,HUC8 Subbasin,Median SWE (in.),Mean SWE (in.),Estimated Volume (af),"Volume Change since April 8, 2025 (af) "
,,,,,
,,,,,
Upper Rio Grande,Rio Grande Headwaters,3.1 ,4.3 ,"314,585 ","-145,676 "
,Saguache,0.0 ,0.6 ,"39,835 ","-60,879 "
,Conejos,0.0 ,2.6 ,"107,129 ","-54,062 "
,Total,0.0 ,2.5 ,"461,549 ","-258,790 "
Sangre de Cristo,San Luis,0.0 ,0.3 ,"27,133 ","-26,205 "
,Alamosa-Trinchera,0.0 ,0.3 ,"39,771 ","-56,637 "
,Upper Rio Grande,0.0 ,0.3 ,"48,057 ","-47,846 "
,Total,0.0 ,0.3 ,"114,961 ","-129,614 "
Rio Chama,,0.0 ,0.5 ,"85,393 ","-80,350 "
Jemez,,0.0 ,0.0 ,105 ,"-14,233 "
