HUC6 Basin,HUC8 Subbasin,Median SWE (in.),Mean SWE (in.),Estimated Volume (af),"Volume Change since April 29, 2025 (af) "
Rio Grande Headwaters,Rio Grande Headwaters,0.6 ,1.8 ,"132,309 ","-32,077 "
,Alamosa-Trinchera,0.3 ,0.5 ,"72,303 ","59,819 "
,San Luis,0.0 ,0.3 ,"23,459 ","8,512 "
,Saguache,0.2 ,0.4 ,"26,752 ","12,650 "
,Conejos,1.1 ,1.6 ,"66,542 ","25,303 "
,Total,0.4 ,0.8 ,"321,364 ","74,207 "
Upper Rio Grande,Upper Rio Grande,0.2 ,0.8 ,"144,174 ","106,761 "
,Rio Chama,0.1 ,0.6 ,"99,131 ","74,012 "
,Total,0.1 ,0.7 ,"243,305 ","180,773 "
Rio Grande-Elephant Butte,Rio Grande-Santa Fe,0.0 ,0.0 ,"2,392 ","2,392 "
,Jemez,0.0 ,0.2 ,"8,522 ","8,522 "
,Rio Grande-Albuquerque,0.0 ,0.0 ,29 ,29 
,Arroyo Chico,0.0 ,0.0 ,7 ,7 
,North Plains,0.0 ,0.0 ,4 ,4 
,Rio San Jose,0.0 ,0.0 ,259 ,259 
,Plains of San Agustin,0.0 ,0.0 ,170 ,170 
,Rio Salado,0.0 ,0.0 ,0 ,0 
,Jornada Del Muerto,0.0 ,0.0 ,0 ,0 
,Elephant Butte Reservoir,0.0 ,0.0 ,0 ,0 
,Rio Puerco,0.0 ,0.0 ,"2,003 ","2,003 "
,Total,0.0 ,0.0 ,"13,386 ","13,386 "
